[2025-06-12 03:59:12,417.417] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:12,445.445] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/SetQuickLogin HTTP/1.1" 200 63
[2025-06-12 03:59:12,445.445] WARNING  [MainThread|MainProcess] adapter.nc.login (login.py:_login:216) | 终端二维码登录为试验性功能, 如果失败请在 webui 登录
[2025-06-12 03:59:12,662.662] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:12,666.666] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/CheckLoginStatus HTTP/1.1" 200 138
[2025-06-12 03:59:12,667.667] INFO     [MainThread|MainProcess] adapter.nc.login (login.py:show_qrcode:18) | 二维码指代的 url 地址: https://txz.qq.com/p?k=YBXntcBB*Bo6KerwG6y8bcI7mlRBeBC4&f=1600001604
[2025-06-12 03:59:12,679.679] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:12,681.681] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:12,739.739] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:12,742.742] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:12,802.802] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:12,816.816] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:12,879.879] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:12,883.883] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:12,941.941] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:12,957.957] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,018.018] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,033.033] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,095.095] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,097.097] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,157.157] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,173.173] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
